order_date,region,product,category,units,price
2024-01-05,North,Laptop,Electronics,12,1200
2024-01-10,South,Tablet,Electronics,18,600
2024-01-14,East,Monitor,Electronics,20,350
2024-01-18,West,Keyboard,Accessories,42,45
2024-01-25,North,Mouse,Accessories,60,25
2024-02-02,South,Laptop,Electronics,9,1200
2024-02-07,East,Printer,Office,14,220
2024-02-15,West,Monitor,Electronics,16,350
2024-02-19,North,Tablet,Electronics,11,600
2024-02-22,South,Keyboard,Accessories,50,45
2024-03-03,East,Laptop,Electronics,15,1200
2024-03-09,West,Mouse,Accessories,78,25
2024-03-17,North,Printer,Office,8,220
2024-03-21,South,Monitor,Electronics,18,350
2024-03-28,East,Tablet,Electronics,15,600
2024-04-02,West,Laptop,Electronics,10,1200
2024-04-08,North,Keyboard,Accessories,64,45
2024-04-12,South,Mouse,Accessories,84,25
2024-04-20,East,Monitor,Electronics,22,350
2024-04-29,West,Tablet,Electronics,13,600
2024-05-04,North,Laptop,Electronics,13,1200
2024-05-09,South,Printer,Office,10,220
2024-05-15,East,Keyboard,Accessories,58,45
2024-05-23,West,Mouse,Accessories,72,25
2024-05-24,North,Monitor,Electronics,19,350
2024-06-01,South,Tablet,Electronics,16,600
2024-06-12,East,Laptop,Electronics,14,1200
2024-06-18,West,Printer,Office,12,220
2024-06-20,North,Mouse,Accessories,90,25
2024-06-27,South,Monitor,Electronics,20,350
2024-07-03,East,Tablet,Electronics,17,600
2024-07-08,West,Keyboard,Accessories,52,45
2024-07-16,North,Printer,Office,11,220
2024-07-21,South,Laptop,Electronics,16,1200
2024-07-30,East,Mouse,Accessories,74,25
2024-08-06,West,Monitor,Electronics,21,350
2024-08-13,North,Tablet,Electronics,14,600
2024-08-17,South,Keyboard,Accessories,60,45
2024-08-26,East,Printer,Office,13,220
2024-09-02,West,Laptop,Electronics,12,1200
2024-09-11,North,Monitor,Electronics,20,350
2024-09-16,South,Mouse,Accessories,82,25
2024-09-24,East,Tablet,Electronics,18,600
2024-09-30,West,Keyboard,Accessories,55,45
2024-10-05,North,Laptop,Electronics,17,1200
2024-10-12,South,Monitor,Electronics,19,350
2024-10-21,East,Keyboard,Accessories,62,45
2024-10-28,West,Tablet,Electronics,15,600
2024-11-03,North,Printer,Office,9,220
2024-11-11,South,Laptop,Electronics,18,1200
2024-11-19,East,Mouse,Accessories,88,25
2024-11-27,West,Monitor,Electronics,23,350
2024-12-04,North,Tablet,Electronics,16,600
2024-12-15,South,Keyboard,Accessories,68,45
2024-12-21,East,Monitor,Electronics,24,350
2024-12-28,West,Laptop,Electronics,15,1200
